UPC 13 digit,Geography,Time,Product_x,Unit Sales,Volume Sales,Dollar Sales,Total Ounces,Price per Unit,Package,Cooked Info,Price per Volume,Unit Sales Any Merch,Unit Sales Price Reductions Only,Unit Sales Feature Only,Unit Sales Display Only,Dollar Sales Any Merch,Dollar Sales Feature Only,Dollar Sales Display Only,Incremental Units,Incremental Volume,Incremental Dollars,ACV Weighted Distribution,Flavor / Scent,Form,Brand Name
3213757,California,Week Ending 01-12-20,PRIVATE LABEL REFRIGERATED REGULAR MEAT SUBSTITUTE PATTY 8 OZ - 3213757,86256.39995062351,43128.199975311756,356927.8267740488,8.0,4.117559669247455,CARDBOARD BOX & WINDOW,VALUE NOT AVAILABLE,8.23511933849491,51533.545771718025,27879.45748949051,13904.27401483059,8576.578837513924,203329.72417514326,61875.12318177104,33329.02693849802,14214.623371721429,7107.311675336524,38962.72239420345,6.851977281749888,REGULAR,PATTY,PRIVATE LABEL
14781259,California,Week Ending 01-12-20,PRIVATE LABEL FROZEN REGULAR MEAT SUBSTITUTE PATTY 14.1 OZ - 14781259,69162.02534210682,60952.492933998736,289926.95897455694,14.1,4.013225406390669,RESEALABLE PLASTIC BAG,VALUE NOT AVAILABLE,4.553756276399262,26019.997074604034,19641.69233083725,5027.360258817673,448.88051772117615,100713.71681070686,19930.444768623114,1888.578862925768,7807.223999987061,6880.506509984311,24171.696721530963,5.256121216592196,REGULAR,PATTY,PRIVATE LABEL
25347218,California,Week Ending 01-12-20,PRIVATE LABEL REFRIGERATED REGULAR MEAT SUBSTITUTE GROUND 16 OZ - 25347218,72169.54523098469,72169.54523098469,481824.5374065578,16.0,6.625362481903277,PLASTIC WRAP TRAY,VALUE NOT AVAILABLE,6.625362481903277,41438.77962362766,26258.17660033703,11753.465475320816,2940.4297441244125,258197.57753780484,80560.63296794891,18416.67559421897,13690.552002704497,13690.551987364139,63814.10621006842,6.881287979926246,REGULAR,GROUND,PRIVATE LABEL
25347382,California,Week Ending 01-12-20,PRIVATE LABEL REFRIGERATED KIELBASA MEAT SUBSTITUTE LINK 12.9 OZ - 25347382,103616.87330698967,83546.28494742577,401694.5250994754,12.9,3.879911593303808,VACUUM PACKED,VALUE NOT AVAILABLE,4.811995030762505,24837.505432248116,23171.95400094986,1665.551431298256,0.0,87751.60201957941,6570.180660979748,0.0,8134.449002941797,6558.806237136003,23733.04015685743,6.910301704630211,KIELBASA,LINK,PRIVATE LABEL
25347383,California,Week Ending 01-12-20,PRIVATE LABEL REFRIGERATED BLACK FOREST HAM MEAT SUBSTITUTE SLICED 5.5 OZ - 25347383,266960.72746646404,91781.09810297034,855652.1929458582,5.5,3.246715624287612,BOX,VALUE NOT AVAILABLE,9.44361728995815,54049.05193448067,43123.88853704929,10925.163397431374,0.0,162262.68562173843,31678.867448770998,0.0,15717.700521392568,5403.745439130928,39174.38867126525,8.717794583074657,BLACK FOREST HAM,SLICED,PRIVATE LABEL
71769621,California,Week Ending 01-12-20,PRIVATE LABEL FROZEN KALE & QUINOA MEAT SUBSTITUTE BURGER PATTY 10 OZ - 71769621,86151.1926804781,53844.49542529881,439752.1730376077,10.0,4.933663055115492,BOX,VALUE NOT AVAILABLE,7.893860888184785,32160.619177937508,16289.441699266434,9192.371668577194,6639.8286209106445,149212.4421666682,43382.6410690856,32474.48194508791,11171.593372803767,6982.245862031845,41910.84183323225,8.026047693613698,KALE & QUINOA,BURGER PATTY,PRIVATE LABEL
71769942,California,Week Ending 01-12-20,PRIVATE LABEL REFRIGERATED MUSHROOM AND VEGGIE MEAT SUBSTITUTE BURGER PATTY 10 OZ - 71769942,104981.09679114819,65613.18549446762,530425.3154177952,10.0,4.920116560676044,BOX,VALUE NOT AVAILABLE,7.872186497081671,35436.533240795135,24581.082462906837,5379.707117676735,5475.743660211563,160832.9442376971,25426.66763942957,26367.726530861855,11781.430869175616,7363.394301327981,41505.75253343502,8.265331496673078,MUSHROOM & VEGETABLE,BURGER PATTY,PRIVATE LABEL
79127420,California,Week Ending 01-12-20,PRIVATE LABEL FROZEN BLACK BEAN AND VEGGIE MEAT SUBSTITUTE PATTY 10 OZ - 79127420,183768.76678144932,114855.47923840582,934936.4903259432,10.0,5.023572333155535,BOX,VALUE NOT AVAILABLE,8.037715733048856,60521.27325499058,37931.4182690382,15051.890595674515,7456.181240677834,279808.7334277153,72036.35148229003,35970.21664559483,21408.69022938282,13380.431403182301,79940.88451900399,13.209507280086655,BLACK BEAN & VEGETABLE,PATTY,PRIVATE LABEL
79127907,California,Week Ending 01-12-20,PRIVATE LABEL FROZEN SWEET POTATO AND VEGGIE MEAT SUBSTITUTE PATTY 10 OZ - 79127907,153871.4946514368,96169.684157148,775982.7688014876,10.0,4.9786260935889315,BOX,VALUE NOT AVAILABLE,7.965801749742291,51734.3162432909,29491.596431016922,12652.337309598923,9562.9078977108,238856.19285562276,60194.94604775071,46596.52279941917,17725.765213210852,11078.60326962721,66013.55320638545,11.988556878189101,SWEET POTATO & VEGETABLE,PATTY,PRIVATE LABEL
84701659,California,Week Ending 01-12-20,PRIVATE LABEL FROZEN BBQ MEAT SUBSTITUTE PATTY 10 OZ - 84701659,13.551877737045288,8.469923585653305,47.29605330228806,10.0,3.49,BOX,COOK THOROUGHLY,5.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007742571210225737,BARBEQUE,PATTY,PRIVATE LABEL
